Wavelength (nm),Reflectance POS 0 (%R),Reflectance POS 1 (%R),Reflectance POS 2 (%R),Reflectance POS 3 (%R),Reflectance POS 4 (%R),Reflectance POS 5 (%R),Reflectance POS 6 (%R),Reflectance POS 7 (%R),Reflectance POS 8 (%R),Reflectance POS 9 (%R),Reflectance POS 10 (%R),Reflectance POS 11 (%R),Reflectance POS 12 (%R),Reflectance POS 13 (%R),Reflectance POS 14 (%R),Reflectance POS 15 (%R),Reflectance POS 16 (%R),Reflectance POS 17 (%R),Reflectance POS 18 (%R),Reflectance POS 19 (%R),Reflectance POS 20 (%R),Reflectance POS 21 (%R),Reflectance POS 22 (%R),Reflectance POS 23 (%R),Reflectance POS 24 (%R),Reflectance POS 25 (%R),Reflectance POS 26 (%R),Reflectance POS 27 (%R),Reflectance POS 28 (%R),Reflectance POS 29 (%R),Reflectance POS 30 (%R),Reflectance POS 31 (%R),Reflectance POS 32 (%R),Reflectance POS 33 (%R),Reflectance POS 34 (%R),Reflectance POS 35 (%R)
999.992981,81.12709808,82.06877899,81.85321808,82.53592682,83.06030273,81.9057312,81.79973602,81.84483337,81.02022552,82.83055115,81.48433685,82.41937256,72.52178955,74.10778046,73.55566406,74.84680176,73.81044769,76.56548309,78.28839111,80.18138885,80.33164978,80.31279755,81.37450409,81.91277313,79.06287384,80.1306076,81.2148819,81.44113922,80.8984375,80.33282471,80.7703476,81.24067688,82.068367,82.36068726,83.19959259,82.90332794
998.9864502,81.07894897,82.66085815,81.32306671,82.92406464,82.52601624,82.05114746,81.65630341,82.42195129,81.87929535,81.96520233,81.95068359,81.67383575,72.86528778,74.14929199,73.82061768,74.75089264,74.21704865,76.74140167,78.57987976,80.29194641,79.94384766,80.1833725,81.48495483,81.48164368,78.93655396,79.72457123,81.82300568,81.77701569,80.39912415,79.96477509,80.11555481,80.92701721,80.98723602,81.84385681,82.44243622,82.35561371
998.0106812,81.84272003,82.57826233,81.80044556,82.50111389,82.71663666,82.48674774,81.9187851,82.54428101,81.97751617,83.1300354,82.58847046,81.94004059,71.94324493,74.4156189,73.78613281,75.55115509,74.68584442,76.4860611,78.26242828,80.42428589,79.67098236,80.6840744,81.29450226,82.21326447,79.51438141,80.08833313,82.29573059,81.73815155,80.86061096,80.7253952,81.16088104,81.49201965,81.73146057,82.15266418,83.3638916,82.59030151
997.0029907,81.39927673,82.85005188,81.5901413,82.56139374,83.06468964,82.41194916,81.72381592,82.28091431,82.24357605,82.46286774,82.09906006,81.77532959,72.43312836,74.56074524,73.84185791,75.14295959,74.78662109,76.66662598,78.30487823,80.34612274,79.89585876,80.48053741,81.64414215,81.75210571,79.44981384,79.85343933,81.45352936,82.09076691,80.391922,79.98580933,81.27483368,82.00501251,81.77371216,81.94889069,83.05828094,82.46076202
995.9945068,81.52754211,83.00061035,81.95265198,83.12358856,82.61687469,82.21681976,81.85605621,82.76553345,82.33439636,82.77845001,82.01360321,82.29950714,72.60482788,74.99247742,74.27397156,75.24828339,74.90023041,77.12368011,78.26708984,80.34848785,80.59446716,80.57663727,82.05171204,82.13412476,80.00792694,80.56386566,82.19082642,81.84318542,81.36598206,80.40356445,81.35401917,82.30134583,81.91210938,82.45425415,83.06274414,82.39196014
994.9855957,81.27073669,82.48112488,81.5854187,82.39472198,82.51932526,81.73616791,81.80363464,82.429245,81.74682617,82.49074554,81.5194931,81.7227478,72.19903564,74.04794312,73.85154724,74.98966217,74.44551086,76.55085754,78.78559113,79.87014771,79.75249481,80.37123108,81.88594055,81.83776093,79.40944672,80.19610596,81.55500793,81.76953125,80.47665405,80.22173309,80.79580688,81.44920349,82.032547,81.89483643,82.68987274,82.36300659
994.0075073,81.067276,82.6321106,81.52336121,82.41575623,82.54826355,82.18865204,81.9625473,82.3351059,81.72210693,82.61543274,81.87101746,81.93396759,72.41448212,74.48114777,73.77586365,74.73985291,74.39408875,76.4336853,78.57492065,80.23287964,80.07163239,80.64781952,81.95199585,81.9594574,79.45612335,80.10106659,81.55944061,81.89626312,80.6683197,80.42077637,81.11196136,81.60796356,81.99873352,82.01139832,83.10373688,82.41305542
992.9971924,81.29838562,82.71869659,81.71629333,82.74107361,82.60796356,82.00645447,81.68767548,82.50904083,81.74668121,82.7826004,81.93535614,82.00759888,72.56100464,74.60775757,73.76145935,74.76488495,74.41779327,76.69004059,78.44824219,80.36339569,79.90525055,80.54599762,81.95922089,82.09983063,79.50416565,80.27645111,81.56465149,82.02158356,80.7529068,80.30220795,81.22187805,81.81233215,81.96698761,82.05337524,82.8952179,82.342453
991.9864502,81.42053986,82.58829498,81.6022644,82.38336182,82.59841919,82.04176331,81.74499512,81.93289948,81.61104584,82.66321564,81.81362152,82.008461,72.51500702,74.36082458,74.03325653,74.90384674,74.68881226,76.73768616,78.30267334,80.35636139,79.77748871,80.48140717,81.47389221,81.81208801,79.47127533,80.10345459,81.65063477,81.99126434,80.70918274,80.38465881,81.17990875,81.90227509,81.97919464,81.92227173,83.0381546,82.48873901
991.0066528,81.22483826,82.78305054,81.52207947,82.7837677,82.25030518,82.31147003,81.70624542,82.54761505,82.00421906,82.22042084,81.53182983,81.94377136,72.74021912,74.34701538,73.60326385,74.61624908,74.46434021,76.27319336,78.35742188,79.97814941,80.13610077,80.50913239,81.39841461,81.81445313,79.54270935,80.90190125,81.46398163,81.91921234,80.48609924,80.32333374,81.01966095,81.54544067,81.68842316,82.09954071,82.77107239,82.35551453
989.9946899,81.43257141,82.4105835,82.06361389,82.32284546,82.35643768,82.31840515,81.20917511,82.12840271,81.65400696,82.32611084,81.49205017,82.12574005,72.17952728,74.31382751,73.60076904,74.99255371,74.18153381,76.64512634,77.98564148,80.24474335,79.62742615,80.8378067,82.03919983,81.34575653,80.00337219,80.11471558,81.13938141,81.98895264,80.39328003,80.13973999,80.81017303,81.60680389,81.69709778,82.01691437,82.61408234,82.28931427
989.0136108,81.18993378,82.90447235,81.59134674,83.28326416,82.62899017,82.20690918,81.74584961,82.54875183,81.83006287,82.73845673,82.35922241,82.2596817,72.53165436,74.5205307,74.18289185,74.91835022,74.42256927,76.2412262,78.63310242,80.39984131,80.24789429,80.38909912,81.72674561,82.11880493,79.08951569,80.20586395,82.00987244,82.24205017,80.91733551,80.37779236,81.34017944,81.90075684,82.05512238,82.07108307,83.18793488,82.43505859
988.0003662,81.00619507,82.17262268,81.35932922,82.75157166,81.7963562,82.2327652,81.52358246,82.48175049,81.92494202,82.27368927,81.37647247,81.99363708,72.12293243,74.45906067,73.10497284,74.46020508,74.07093048,76.24668121,77.75917816,79.95805359,80.30680084,80.57089996,81.3898468,81.58956909,78.85969543,79.90575409,81.31403351,81.72177887,80.52064514,80.49786377,80.72249603,81.30508423,81.32683563,81.41275024,82.22564697,82.22699738
