Wavelength (nm),Reflectance POS 0 (%R),Reflectance POS 1 (%R),Reflectance POS 2 (%R),Reflectance POS 3 (%R),Reflectance POS 4 (%R),Reflectance POS 5 (%R),Reflectance POS 6 (%R),Reflectance POS 7 (%R),Reflectance POS 8 (%R),Reflectance POS 9 (%R),Reflectance POS 10 (%R),Reflectance POS 11 (%R),Reflectance POS 12 (%R),Reflectance POS 13 (%R),Reflectance POS 14 (%R),Reflectance POS 15 (%R),Reflectance POS 16 (%R),Reflectance POS 17 (%R),Reflectance POS 18 (%R),Reflectance POS 19 (%R),Reflectance POS 20 (%R),Reflectance POS 21 (%R),Reflectance POS 22 (%R),Reflectance POS 23 (%R),Reflectance POS 24 (%R),Reflectance POS 25 (%R),Reflectance POS 26 (%R),Reflectance POS 27 (%R),Reflectance POS 28 (%R),Reflectance POS 29 (%R),Reflectance POS 30 (%R),Reflectance POS 31 (%R),Reflectance POS 32 (%R),Reflectance POS 33 (%R),Reflectance POS 34 (%R),Reflectance POS 35 (%R)
999.984375,82.81228638,84.28623962,83.71269989,84.74419403,85.53321838,84.60588074,84.04811859,83.83116913,85.14707947,85.19623566,84.39402008,85.43621063,72.60700226,75.69467163,75.19661713,76.18559265,78.3404541,76.21515656,77.28814697,80.38421631,79.59068298,82.11494446,81.694664,81.71137238,80.63610077,81.02852631,83.59550476,82.46318817,83.52441406,83.1081543,84.05956268,82.82000732,83.81929016,83.17738342,84.19247437,83.27108765
999.0095825,83.49088287,85.07255554,83.00226593,85.21446991,85.19055939,84.73610687,83.63101959,83.42385864,84.03032684,84.89710999,85.43079376,84.5439682,72.90423584,77.26373291,75.4883194,75.63439941,76.8549118,75.48812866,76.503685,79.68752289,81.0490036,81.02160645,80.78909302,82.9656601,80.05879974,82.65666962,83.00499725,82.80049133,83.3558197,82.73391724,82.97458649,83.42571259,84.2102356,82.86616516,83.85141754,84.713974
998.0026855,81.29576111,83.71292877,83.29084015,84.50350189,84.32109833,83.89744568,82.90909576,84.68457031,84.49004364,83.96767426,84.78500366,83.93079376,72.25631714,75.4549408,74.58203125,75.72750854,77.29651642,75.14618683,77.69076538,79.20137787,79.07807159,81.10670471,81.20554352,81.35986328,80.09564972,81.22019958,82.53403473,81.35449219,81.73581696,82.12779999,83.0051651,83.03015137,83.22981262,83.43198395,83.58608246,82.01708984
996.9952393,83.91954041,85.32719421,82.36730957,84.01657867,84.0555954,83.69166565,82.46243286,84.05503845,83.93354034,84.76824951,84.99034882,82.92234039,72.05349731,74.55010986,75.6128006,75.998703,77.4319458,76.24357605,76.70024872,79.31868744,79.77462769,80.64229584,82.08044434,81.16689301,80.21443176,81.90414429,83.68586731,82.84043884,83.242836,81.98368835,82.19874573,83.0219574,82.76445007,82.63552856,83.73090363,83.05136108
995.9871216,82.55415344,84.29971313,83.61190033,84.88582611,84.24860382,84.17966461,82.76036072,84.25450897,85.43402863,85.09418488,84.83230591,84.82484436,72.79930878,76.46224976,75.54466248,75.94181061,77.18600464,76.71247101,77.97648621,80.08948517,80.51054382,81.12026215,81.52129364,80.0960083,80.44426727,81.67311859,83.44451904,82.74465179,82.85823059,83.58216858,82.41909027,82.28058624,82.68390656,83.39528656,84.0213089,83.29092407
995.0100098,83.58863831,85.65834045,84.03414917,85.2204895,85.50647736,85.04949188,83.67710876,84.81993103,85.04468536,85.20050812,85.86286163,84.19329834,72.77429962,76.49112701,75.73505402,75.7065506,77.70776367,76.96801758,79.17131042,80.74058533,81.18884277,81.85161591,82.81413269,82.01417542,81.52008057,82.27135468,83.62548828,82.46781158,84.02002716,83.33361816,83.42953491,83.17281342,83.26870728,84.15624237,84.16870117,83.14352417
994.0005493,82.43267059,84.32124329,83.00267029,84.46304321,84.81957245,84.07534027,82.5831604,84.06861877,84.65839386,84.21642303,84.93140411,84.68811035,72.3670578,75.7299881,75.12070465,76.32499695,77.83253479,76.15273285,77.62667847,79.63342285,80.35861206,81.53381348,81.74488068,81.55213928,80.18392944,81.4932251,83.81610107,82.19294739,82.95645142,82.84835815,82.52172852,82.98416901,82.93811798,82.9025116,83.72562408,82.84053802
992.9906616,83.23781586,85.22225952,84.09228516,85.1839447,85.16653442,84.59922028,83.44076538,84.95729828,85.00479126,85.18187714,85.05879974,85.36553192,73.15340424,76.76937866,75.84535217,76.58495331,77.75584412,76.92292786,78.06230927,80.07453918,80.66082764,82.15188599,82.28336334,81.69924927,80.97210693,82.2425766,83.77185822,83.25494385,83.91601563,83.17741394,83.33231354,83.25567627,83.91963959,83.35910034,84.2691803,84.18359375
992.0117188,83.47423553,84.84372711,84.3385849,85.09937286,84.93764496,84.7493515,82.55630493,84.07920837,85.47825623,85.25164032,84.8031311,85.17617798,72.64589691,76.23457336,76.0161438,75.99359894,77.96627808,77.18636322,77.68414307,79.77362823,81.08673859,81.56791687,82.43577576,81.80652618,80.72970581,82.44654846,84.13729858,82.9032135,83.26916504,83.47029877,83.46676636,83.47393799,83.73274231,83.05558777,84.35482025,83.96218109
991.0006104,83.06329346,85.18399811,84.13492584,84.20041656,85.32884979,84.61735535,82.37715149,84.92750549,84.92057037,84.69848633,84.16556549,84.55005646,71.78647614,75.37954712,75.40005493,75.79472351,77.85362244,76.14454651,77.61618805,79.40237427,80.63414764,80.90922546,81.58151245,81.28562164,80.94856262,81.60868835,83.74893951,83.52272034,83.86748505,82.93483734,82.8507843,82.87334442,83.78630066,83.16856384,84.33218384,83.77544403
