Wavelength (nm),Reflectance POS 171 (%R),Reflectance POS 229 (%R),Reflectance POS 287 (%R),Reflectance POS 345 (%R),Reflectance POS 403 (%R),Reflectance POS 1040 (%R),Reflectance POS 1097 (%R),Reflectance POS 1154 (%R),Reflectance POS 1211 (%R),Reflectance POS 1268 (%R),Reflectance POS 1373 (%R),Reflectance POS 1314 (%R),Reflectance POS 1255 (%R),Reflectance POS 1196 (%R),Reflectance POS 1137 (%R),Reflectance POS 728 (%R),Reflectance POS 670 (%R),Reflectance POS 612 (%R),Reflectance POS 554 (%R),Reflectance POS 496 (%R),Reflectance POS 1244 (%R),Reflectance POS 1186 (%R),Reflectance POS 1128 (%R),Reflectance POS 1070 (%R),Reflectance POS 1012 (%R),Reflectance POS 607 (%R),Reflectance POS 548 (%R),Reflectance POS 489 (%R),Reflectance POS 430 (%R),Reflectance POS 371 (%R),Reflectance POS 196 (%R),Reflectance POS 197 (%R),Reflectance POS 198 (%R),Reflectance POS 199 (%R),Reflectance POS 200 (%R),Reflectance POS 184 (%R),Reflectance POS 241 (%R),Reflectance POS 298 (%R),Reflectance POS 355 (%R),Reflectance POS 412 (%R),Reflectance POS 873 (%R),Reflectance POS 931 (%R),Reflectance POS 989 (%R),Reflectance POS 1047 (%R),Reflectance POS 1105 (%R),Reflectance POS 889 (%R),Reflectance POS 1003 (%R),Reflectance POS 684 (%R),Reflectance POS 799 (%R),Reflectance POS 1033 (%R)
405.9985657,7.366518497,7.550821304,7.886420727,7.367237568,7.504711151,6.098956108,6.01122427,6.001607895,6.228300095,5.997652054,45.85219193,46.45214844,45.76172638,46.72383499,47.44571686,7.13937664,7.357337475,7.291259766,7.314363956,7.183141232,7.47546196,7.507995605,7.211921215,7.364811897,7.210992813,29.10753441,30.10356712,29.81507111,29.93844414,30.08154297,18.83531189,19.84538841,19.40608978,19.49254799,19.40701675,4.232750893,4.375482559,4.196050644,3.815357685,3.995658875,8.198610306,8.362308502,8.07759285,8.450266838,8.561459541,86.11606598,86.55369568,90.68505859,90.49514771,89.73988342
404.9942932,7.325391293,7.522255898,7.835319042,7.301111698,7.492138386,6.153428078,5.996349812,6.066491604,6.185045242,6.059515953,46.01039124,46.64910126,46.09142303,46.97173309,47.65592194,7.210226536,7.450727463,7.213641644,7.41656065,7.365857124,7.460803509,7.53280592,7.211312771,7.296495914,7.310912132,28.93581009,30.07487106,29.82258415,29.90041733,29.91045952,18.59846497,19.63790894,19.12884712,19.24009514,19.15829277,4.267981529,4.486815453,4.274303913,3.992744446,4.024491787,8.214801788,8.377322197,8.117794037,8.552321434,8.607447624,86.63496399,87.01976013,91.07938385,91.01688385,90.27667999
403.9898071,7.359935284,7.424141407,7.804584503,7.305932045,7.513038158,6.057105064,6.050691128,6.002621651,6.167038441,6.033819675,46.03338623,46.74681091,46.04644394,46.97747803,47.64266586,7.32627964,7.510981083,7.334580898,7.322200298,7.34748745,7.427014351,7.418103695,7.231300354,7.327720642,7.293661118,28.98865318,29.91536903,29.72169876,29.67320633,29.8004055,18.249403,19.33913612,18.79445839,18.96308899,18.75942421,4.274418831,4.460827827,4.227978706,3.88552165,4.053832054,8.198383331,8.449350357,8.175204277,8.525403023,8.65531826,86.80197906,87.24958038,91.42855072,91.1740036,90.52376556
402.985199,7.220427513,7.601686478,7.750402927,7.381798267,7.507810593,5.973526955,6.039002419,6.123301983,6.280407906,5.990852356,46.08573151,46.79405212,46.18950272,47.04627991,47.81125259,7.194615364,7.536156654,7.2643013,7.51798296,7.356777668,7.411358356,7.433851719,7.253061771,7.355715275,7.264571667,28.96211433,29.96113968,29.72921181,29.64255142,29.80708504,18.03165245,19.06761742,18.56701088,18.71005058,18.50638008,4.331504345,4.465231895,4.218343258,3.885210037,3.962790251,8.171113968,8.389046669,8.211050987,8.58710289,8.538785934,87.16858673,87.52095032,91.76255798,91.59348297,90.93609619
402.019043,7.152211666,7.523541927,7.745452404,7.339018822,7.422040462,6.013721466,6.04230547,6.033974648,6.194179535,5.989191532,46.31659317,46.9779129,46.30931091,47.2660408,47.95020676,7.210086346,7.562931061,7.29323101,7.475955009,7.332120895,7.453987598,7.510120392,7.183223248,7.292212009,7.242411613,28.9804287,30.04499054,29.62677383,29.71327972,29.84919548,17.79846764,18.78678513,18.37372589,18.48021317,18.40779495,4.280003071,4.455603123,4.250819206,3.926458597,3.973181248,8.393890381,8.532855034,8.134230614,8.502252579,8.652621269,87.63095093,88.02314758,92.19887543,92.01846313,91.31483459
401.0140686,7.274904728,7.437699318,7.79407835,7.321606636,7.5357728,6.079919338,5.964799881,6.114325523,6.245319843,6.142887592,46.36680603,47.16851044,46.52699661,47.39343262,48.0830307,7.184337139,7.574494839,7.359922886,7.410477638,7.319417,7.428451538,7.455142498,7.301342487,7.338558674,7.235361576,28.94943619,29.94990349,29.63680267,29.67276573,29.68932724,17.5524807,18.61121368,18.13127708,18.27257919,18.16090584,4.318205833,4.487486839,4.243425846,3.891983986,3.940880775,8.36058712,8.569423676,8.239965439,8.52212429,8.617816925,87.9882431,88.40003204,92.61215973,92.45457458,91.67105103
400.0089722,7.32454443,7.446891785,7.736166,7.308936119,7.524643898,6.05105257,6.069845676,6.033298016,6.263586044,6.174951077,46.52264786,47.30331802,46.62334061,47.56526566,48.16994095,7.319579124,7.617758274,7.403119087,7.534138203,7.304373264,7.382390499,7.436171055,7.261220455,7.273223877,7.197944641,28.90704536,29.9685688,29.62616348,29.60049438,29.6877861,17.40677643,18.33644295,17.98548317,18.11231613,17.99649239,4.290967941,4.530161858,4.155007839,3.908111095,3.911574602,8.277516365,8.445328712,8.307318687,8.577342033,8.64621067,88.18693542,88.69796753,92.98884583,92.81188202,91.88312531
399.0036621,7.303136826,7.499470711,7.836276054,7.274280548,7.397485733,6.072542191,6.045133591,6.078335285,6.296924591,6.136546135,46.70334244,47.32592392,46.69586563,47.58469009,48.31033707,7.29310751,7.633748055,7.383112431,7.68647337,7.407241344,7.452221394,7.552336216,7.24256134,7.305742264,7.241495132,28.87496567,29.99714851,29.65477371,29.73690414,29.76014328,17.23039627,18.33877182,17.68953133,17.87067413,17.90162849,4.172657967,4.496799469,4.220469475,3.850828886,4.016836643,8.336270332,8.527335167,8.226898193,8.632946014,8.726924896,88.70765686,89.11829376,93.38928223,93.16025543,92.47007751
397.99823,7.324212074,7.546875,7.753881931,7.313822269,7.414124012,6.13121891,5.981507301,6.092073917,6.313629627,6.179593086,46.85457993,47.55105591,46.76306152,47.78103638,48.64054489,7.312959671,7.856483936,7.385221004,7.680602551,7.484005451,7.399479389,7.52248621,7.315597057,7.320251942,7.263942719,28.94195557,30.02051926,29.59743118,29.69543076,29.56271172,17.06502151,18.17199135,17.65027618,17.75456429,17.65790558,4.235377789,4.442530155,4.195542812,3.911077261,4.019002438,8.414287567,8.649398804,8.319487572,8.645405769,8.794600487,89.09532928,89.47261047,93.80873871,93.59210968,92.82089233
396.9926147,7.369066715,7.511888981,7.751905918,7.243059635,7.555127144,6.179545879,6.149217129,6.039800167,6.285458088,6.149323463,46.94739151,47.56817245,46.88707733,48.00504303,48.53305054,7.522612095,7.658975601,7.473374367,7.568391323,7.462077618,7.56232357,7.548466206,7.24620676,7.444923401,7.320911407,28.87465286,29.92409515,29.64495087,29.73892975,29.64991951,16.94723892,18.05070114,17.45055389,17.73706245,17.65717125,4.268064499,4.511404514,4.265151978,4.038229465,4.113889694,8.375033379,8.567508698,8.343001366,8.622312546,8.761440277,89.44801331,89.92921448,94.06304932,93.7990799,93.23727417
395.9868469,7.33673048,7.460781097,7.684696674,7.36302948,7.353847504,6.214163303,6.037918568,5.954548359,6.273035526,6.083203316,47.01772308,47.75435257,47.14518738,47.9955864,48.61182404,7.418301582,7.687632084,7.405486107,7.763010979,7.524787426,7.542411327,7.49576664,7.343836784,7.362817287,7.285514355,28.87716866,29.96175575,29.7730484,29.67598152,29.70809937,16.86260033,17.91665649,17.34704208,17.57585335,17.44385529,4.326255322,4.424301147,4.189812183,3.85192585,4.077116013,8.491381645,8.532457352,8.428050995,8.736839294,8.840576172,89.90659332,90.20883179,94.55867767,94.39270782,93.62055969
394.980957,7.313856602,7.392768383,7.762000084,7.371739388,7.489154339,6.091745377,6.145319939,6.123857021,6.375002861,6.224721909,47.26527405,47.86657715,47.28846741,48.29582596,48.81760025,7.49328804,7.801865101,7.51966095,7.739113331,7.623712063,7.518118858,7.638685226,7.272149086,7.461921692,7.302752972,28.99552536,29.91492081,29.60544014,29.68601608,29.63967896,16.74189758,17.84651566,17.2184639,17.39214134,17.36874962,4.319534302,4.437325954,4.33282423,3.912418365,4.065413952,8.412419319,8.60162735,8.386480331,8.835746765,8.812879562,90.28722382,90.72873688,94.9845047,94.82336426,94.16506958
394.0135498,7.426051617,7.490889072,7.823137283,7.262373924,7.518250465,6.192548752,6.142545223,6.119148731,6.398810387,6.233878613,47.38060379,48.08492279,47.4159317,48.32234192,48.98558807,7.499362469,7.807482719,7.499902725,7.86711359,7.515340328,7.468327999,7.564264297,7.346030235,7.439488411,7.40119648,28.93101883,30.02083588,29.69281006,29.74373627,29.68488121,16.60104179,17.75309563,17.12276649,17.26760483,17.27620697,4.299925327,4.469037533,4.273592472,3.839599609,4.134587288,8.494234085,8.655056953,8.455317497,8.719614029,8.859399796,90.68806458,91.14826965,95.42523956,95.25152588,94.56570435
393.0072937,7.356784344,7.459999561,7.768058777,7.440262794,7.535473824,6.161273479,6.120491028,6.183799744,6.346856117,6.157055378,47.42008209,48.22438812,47.51947784,48.45326996,49.15426254,7.590085983,7.789243221,7.655138016,7.757303715,7.62308979,7.489605427,7.569966316,7.407660007,7.311647415,7.453706741,28.9290905,30.10240555,29.7694149,29.85045624,29.75535393,16.48169327,17.56002617,16.93153381,17.16035843,17.1788578,4.392652512,4.49532032,4.316475868,3.873405218,4.06443119,8.492996216,8.750342369,8.318778992,8.923237801,8.906280518,91.17918396,91.59368134,96.00299072,95.74882507,95.15052032
392.000885,7.311952114,7.552073002,7.773629665,7.298621655,7.555128574,6.126182556,6.179393291,6.167652607,6.43061924,6.220507622,47.54415512,48.33955383,47.7277565,48.74526596,49.32525635,7.694529057,7.875870705,7.715139389,7.780943871,7.690469742,7.635010719,7.675143242,7.4377141,7.410114288,7.426911354,29.01128197,30.10746193,29.80019188,29.82902527,29.77596855,16.31580353,17.47706604,16.87283134,17.03867531,17.10417938,4.252043247,4.464298725,4.286068916,3.946479082,4.064311028,8.613289833,8.778507233,8.533568382,8.929268837,9.005582809,91.60158539,92.19745636,96.4116745,96.21567535,95.53340912
