Wavelength (nm),Reflectance POS 0 (%R),Reflectance POS 1 (%R),Reflectance POS 2 (%R),Reflectance POS 3 (%R),Reflectance POS 4 (%R),Reflectance POS 5 (%R),Reflectance POS 6 (%R),Reflectance POS 7 (%R),Reflectance POS 8 (%R),Reflectance POS 9 (%R),Reflectance POS 10 (%R),Reflectance POS 11 (%R),Reflectance POS 12 (%R),Reflectance POS 13 (%R),Reflectance POS 14 (%R),Reflectance POS 15 (%R),Reflectance POS 16 (%R),Reflectance POS 17 (%R),Reflectance POS 18 (%R),Reflectance POS 19 (%R),Reflectance POS 20 (%R),Reflectance POS 21 (%R),Reflectance POS 22 (%R),Reflectance POS 23 (%R),Reflectance POS 24 (%R),Reflectance POS 25 (%R),Reflectance POS 26 (%R),Reflectance POS 27 (%R),Reflectance POS 28 (%R),Reflectance POS 29 (%R),Reflectance POS 30 (%R),Reflectance POS 31 (%R),Reflectance POS 32 (%R),Reflectance POS 33 (%R),Reflectance POS 34 (%R),Reflectance POS 35 (%R)
999.996521,5.836338997,5.901504517,5.668250561,5.488281727,7.313790321,4.694840908,8.766717911,9.222766876,10.2701807,8.591775894,9.92747879,9.373867035,44.74220657,44.71492004,45.49543381,44.792099,43.76280975,44.85889435,69.41647339,71.57583618,74.31974792,73.7161026,71.30045319,74.03274536,68.15001678,68.8662796,65.44094086,69.34192657,70.50962067,70.46488953,70.00344086,71.24143219,73.27136993,72.34539032,74.68383026,72.78601074
998.9902954,6.049500942,5.292758942,6.298687935,4.634958267,5.778367996,5.322404385,9.128304482,9.938406944,10.64182377,10.37710953,10.49649239,9.605806351,43.89171982,43.9027977,45.37702942,44.74856186,43.48196411,45.12277985,70.11341095,70.05334473,74.47315979,73.59157562,71.26219177,73.86251068,66.87213898,66.63948822,64.88214874,67.99740601,72.32318878,69.7857666,69.21208191,71.89942169,73.60240173,72.16953278,74.40033722,72.87708282
998.0147705,4.998537064,5.02805233,5.337000847,4.809492111,5.626350403,6.562286377,8.581916809,9.590093613,9.918694496,8.490206718,9.403297424,9.5507164,44.50820923,43.39022827,45.12958908,44.9107666,43.59189987,44.43288803,69.91761017,70.26488495,74.95271301,73.00136566,70.867836,74.18295288,66.71372986,67.56694031,65.06988525,67.62872314,71.67974091,70.12440491,69.61993408,71.39621735,72.6353302,72.17398071,73.69579315,72.99632263
997.0072021,4.585610867,5.309342384,5.454574108,4.836008072,5.589321136,5.830220699,8.370516777,8.833584785,9.115728378,8.922377586,9.612584114,8.854506493,44.14029694,43.15397263,44.97567749,45.58449173,44.05939102,44.30234909,69.56889343,71.33453369,74.10196686,73.1499939,69.60624695,72.69076538,65.35630798,66.52149963,65.21815491,67.93325806,70.64954376,69.62767792,68.95436859,71.5165863,73.3224411,71.74732208,74.08852386,73.79093933
995.9992065,5.402426243,6.433861732,5.67778492,5.058696747,5.220613003,5.861740112,8.170344353,9.616684914,9.457000732,9.857748985,10.60210896,10.12266922,44.57236099,43.46583939,45.24398804,45.56234741,44.93236923,45.15444183,69.4390564,71.34455872,74.00496674,73.5670166,70.63812256,73.08799744,67.53364563,68.02082825,64.91545868,68.9018631,71.26195526,71.03082275,69.86166382,71.05938721,74.94799805,73.10423279,74.14198303,73.80477905
994.9903564,5.167359352,5.918318272,5.550601959,5.780649662,5.375914097,5.28740406,9.477556229,10.043293,10.08244038,9.469406128,9.436000824,9.728552818,45.43493271,43.79821014,44.86888504,46.17164612,44.42563248,44.97681427,70.39180756,71.91138458,74.94038391,73.97789001,71.78121185,74.03063965,66.59043884,67.8985672,65.51593018,68.4589386,72.01302338,70.19277954,69.90527344,71.94868469,73.5761261,73.18637848,75.33787537,73.68717194
994.0125732,5.395036221,5.850625038,5.180022717,4.713300228,5.716399193,5.020919323,8.323518753,9.47517395,9.197260857,9.207683563,9.716159821,9.845747948,44.7071228,43.85968018,45.1605835,45.42881775,43.9406395,45.11185455,69.92730713,71.36077881,74.62608337,73.81242371,70.94046783,73.15790558,67.23197937,67.71562195,65.4622879,68.36724854,71.49514771,70.44412231,69.08655548,71.11899567,74.04335022,72.36473083,74.69650269,73.52549744
993.0026855,5.239565849,5.862356186,5.228553772,5.159276485,5.525307178,5.464121342,8.176107407,9.532436371,9.619786263,9.372777939,9.689085007,9.359884262,44.62338257,43.89363098,44.94267273,45.19844818,44.04144669,45.60176086,70.10482788,71.20820618,74.34581757,74.11312866,71.28186035,73.41031647,67.05052185,67.60312653,65.67534637,68.23279572,71.73384857,70.48683167,69.47092438,71.9966507,73.70343781,72.74757385,74.97239685,73.28543091
991.9921875,5.134972572,5.569833755,5.512043953,4.922157288,5.80360508,5.588408947,8.327109337,9.514192581,9.648042679,8.893992424,9.522787094,9.396225929,44.61012268,43.67185974,44.77826691,45.15242386,44.37699509,45.2929306,69.93321228,71.41038513,74.62430573,73.92432404,71.3575592,73.69783783,67.20245361,67.89479828,65.46512604,67.985466,71.75601959,70.41607666,69.60128784,72.17560577,73.85327911,72.503685,74.70175934,72.97086334
991.0125122,6.068755627,5.890751362,5.389800549,5.535131931,5.535798073,5.0496068,8.846039772,9.997502327,9.892421722,9.401869774,10.03512955,10.3067379,45.17910385,44.11726761,45.8680687,45.69221115,44.57489014,45.38461685,69.96838379,70.9725647,74.52217102,74.84333801,71.72066498,74.21105194,67.03852844,68.1991806,65.56895447,68.06725311,71.89318085,70.41151428,71.13525391,72.48569489,74.27617645,72.85443115,75.01922607,74.12017059
990.0008545,5.231800079,5.521064758,5.517281532,5.822816849,4.921631336,5.528307915,8.67078495,9.779269218,9.252999306,9.491926193,9.973099709,9.579596519,44.32867813,43.03783417,45.36639786,45.37716675,43.37353516,45.07555389,70.24338531,71.233078,74.11110687,74.4925766,71.22924042,73.68022919,67.08161163,68.2064209,64.68362427,68.3197937,71.85503387,68.76687622,69.22725677,72.46731567,73.68495178,72.97888947,75.3113327,73.92954254
988.9884644,5.336134911,6.168807507,5.545715809,4.974476814,6.228271961,5.124445438,8.620635986,9.086713791,9.001842499,10.03054428,10.0040741,8.803001404,44.77657318,43.78462219,44.56534195,44.24367142,44.83996201,45.53488922,69.37097931,71.63238525,73.48098755,73.47675323,71.39602661,74.30235291,66.43154907,67.87371826,65.08487701,68.35826874,71.43271637,70.30391693,69.69091034,71.4701767,72.59901428,73.00224304,75.04557037,73.38211823
988.0072021,5.551785469,4.409370422,4.913984776,5.765618801,6.425861835,4.667160511,7.79830122,9.241240501,9.761910439,8.078532219,10.24179649,9.044665337,44.82329941,43.55195618,45.11417389,43.45021057,43.50687027,43.46378326,69.2003479,69.94210052,74.0072403,73.11386108,70.51058197,72.01420593,66.04330444,67.62966156,65.78405762,67.85467529,70.97667694,69.85720062,69.2990036,71.77310181,73.36281586,71.92493439,74.3109436,72.57144928
986.9934692,5.715815544,5.979556084,4.92808342,4.81462574,5.606432438,6.158921242,7.531970024,8.871656418,8.831281662,10.00163841,9.870570183,8.65263176,44.76156235,44.46340942,44.32136536,44.6899147,43.52975082,44.86726379,70.03223419,72.41333008,74.83644104,73.08895874,70.95474243,72.67610168,66.97895813,68.14089203,65.12638092,68.74085999,72.06835175,69.73283386,69.85282135,72.09382629,72.86470795,72.15795898,74.50972748,73.12159729
986.0111084,5.388166904,5.42731905,6.018429756,5.125497341,4.980068684,5.944209099,8.454050064,8.919559479,9.870891571,9.729213715,8.708625793,9.320588112,45.53138351,43.11774826,44.49102402,44.63729477,44.14439011,44.13365555,69.59400177,71.27333069,74.70586395,73.54747772,71.09505463,73.47484589,66.91822052,69.09573364,65.88487244,68.91094208,72.1820755,70.67068481,69.61872864,73.24947357,73.43694305,73.8328476,75.68240356,72.96020508
984.9963379,5.222831726,5.650706291,5.127904415,5.353234768,4.608853817,4.525219917,8.736814499,9.017055511,9.740586281,9.522480011,9.049509048,10.37360859,45.17953491,43.07260895,45.24861145,45.85108185,44.23311234,43.76038361,69.39948273,72.11825562,73.84686279,73.20792389,70.50215912,73.52116394,67.34070587,67.26846313,65.37442017,67.8378067,70.63169861,68.96923065,69.78574371,71.57036591,73.17423248,72.37042236,74.70032501,73.23977661
984.0127563,6.024290085,5.129947662,5.470906734,5.840808392,6.054552078,4.661909103,7.661314487,8.849946022,9.924744606,7.85187912,9.751898766,7.763189316,44.51580811,43.73488617,44.16279602,46.39174652,44.52033234,45.27768707,70.36785889,71.39202118,75.11412811,74.44927979,70.8558197,74.45792389,66.80091858,67.95298004,65.68979645,67.66116333,72.02806091,70.33950043,69.55076599,72.05753326,73.98898315,72.98950958,76.21598053,73.16494751
982.9967041,5.810629368,6.701648235,6.477660656,5.440685749,6.05146122,5.300913334,8.080832481,9.068352699,9.793764114,10.41020679,9.711006165,8.938064575,44.833992,44.02915573,46.46957779,44.66705322,43.9006958,45.00130844,70.01018524,71.08270264,74.84207153,74.52570343,71.05934906,74.50306702,67.47702026,68.13492584,64.7406311,67.80168152,72.28277588,70.87805176,69.41230011,71.63217926,73.97325897,73.06390381,74.40216827,73.31378937
982.0119019,6.052235126,5.758778572,5.833919525,5.594549179,5.638502121,5.77589798,8.858446121,10.14214325,9.849859238,8.689793587,8.89908886,8.724751472,44.70949554,44.32063675,45.77648163,45.7399025,44.57787704,45.27402496,71.22663116,71.50325012,75.79177094,74.23741913,71.48382568,74.16452789,68.15503693,68.13591766,65.73342133,68.52314758,72.04523468,70.42592621,70.33254242,73.302742,74.07448578,73.66824341,75.39276123,73.92169952
