Wavelength (nm),Reflectance POS 0 (%R),Reflectance POS 1 (%R),Reflectance POS 2 (%R),Reflectance POS 3 (%R),Reflectance POS 4 (%R),Reflectance POS 5 (%R),Reflectance POS 6 (%R),Reflectance POS 7 (%R),Reflectance POS 8 (%R),Reflectance POS 9 (%R),Reflectance POS 10 (%R),Reflectance POS 11 (%R),Reflectance POS 12 (%R),Reflectance POS 13 (%R),Reflectance POS 14 (%R),Reflectance POS 15 (%R),Reflectance POS 16 (%R),Reflectance POS 17 (%R),Reflectance POS 18 (%R),Reflectance POS 19 (%R),Reflectance POS 20 (%R),Reflectance POS 21 (%R),Reflectance POS 22 (%R),Reflectance POS 23 (%R),Reflectance POS 24 (%R),Reflectance POS 25 (%R),Reflectance POS 26 (%R),Reflectance POS 27 (%R),Reflectance POS 28 (%R),Reflectance POS 29 (%R),Reflectance POS 30 (%R),Reflectance POS 31 (%R),Reflectance POS 32 (%R),Reflectance POS 33 (%R),Reflectance POS 34 (%R),Reflectance POS 35 (%R)
999.9924927,7.373160362,4.987533569,5.83143568,5.765779495,6.389933586,6.800755024,15.27875996,15.99627686,16.29246712,15.01272011,15.32388496,15.5970974,64.36302948,66.15224457,66.74742126,63.09412766,66.9395752,63.52633286,77.85160065,77.83126068,77.56384277,78.69185638,81.55116272,80.58467865,76.28233337,76.21063232,78.14392853,81.0401001,79.70406342,80.5827179,75.97425842,78.63340759,78.44771576,78.87274933,80.41600037,81.63300323
998.9859009,5.701239586,5.621150494,6.037358284,5.533957958,5.484258175,6.785120964,15.57154465,16.34539223,15.74624634,14.30283165,14.84860039,15.07705021,64.66596985,64.63141632,64.78321838,64.76013947,65.72192383,63.33888626,77.78115845,77.64807892,78.94171143,78.62426758,80.97303772,81.67051697,76.21749878,77.16868591,79.66331482,80.95911407,79.78064728,81.05887604,75.88913727,79.14877319,78.81586456,80.16658783,79.40962982,80.86886597
998.0102539,5.850803852,5.027662754,5.653540611,6.744158268,5.497835159,7.410513401,16.19589424,16.54525185,16.1787529,14.88122463,16.50275803,15.44930458,65.15002441,65.99697113,66.08000183,65.28894043,65.7589798,64.06523895,79.25670624,78.50480652,77.36164093,79.58221436,82.3000412,82.23131561,77.5399704,76.57883453,79.44999695,80.1026001,80.60651398,80.14189911,76.56215668,78.91204071,79.01094055,81.34846497,80.49184418,82.48308563
997.0023804,6.087483883,5.880867481,6.606514931,6.423026085,5.788637161,7.077553749,14.86608219,14.98055744,14.63072586,15.46276665,14.70166111,15.78802872,64.16287994,64.59402466,64.88048553,64.07536316,65.07183838,64.21333313,76.84690094,77.61263275,78.16352081,78.7155838,80.68243408,81.29456329,75.96789551,76.00979614,79.39339447,79.72297668,79.65667725,80.15602112,75.54232025,77.82668304,78.90613556,80.14217377,81.06486511,81.573349
995.9939575,5.793734074,5.619040966,5.584378242,6.803380013,6.123092175,6.170553684,16.07637024,16.55715179,16.35083389,15.35073471,15.72139072,15.54423237,65.20545197,65.60485077,66.13587952,64.92002869,65.75327301,65.09929657,78.80416107,78.91454315,78.50501251,79.66352844,81.8557663,82.16989136,78.60148621,76.95022583,80.26116943,81.19922638,80.91220856,81.63919067,76.42546082,80.30220032,79.76457214,81.42440033,81.48970795,82.56140137
994.9848633,5.340780735,6.329636097,6.124666691,6.35499382,6.152436733,7.395985126,15.36670017,15.48217392,15.74589157,15.78537846,16.43953705,15.63686466,64.609375,65.53379059,65.57177734,64.71403503,65.51953888,64.68095398,78.2131958,77.46601105,78.90784454,79.2520752,81.59282684,82.23704529,76.96242523,77.30332184,79.5712204,80.28036499,80.73187256,81.02906799,76.26271057,79.6611557,79.409935,80.71625519,80.63299561,82.01832581
994.0068359,5.631481647,5.513285637,5.98160696,6.438609123,5.827330112,6.829626083,15.25973225,15.90774822,16.03425407,15.93564034,15.95672417,15.59571171,65.53044891,65.06808472,65.96085358,64.59693909,65.65283203,63.5708313,78.0908432,77.99278259,78.82143402,79.91413879,81.06575012,81.54325104,77.00496674,77.41387939,78.87335205,80.15229034,80.22842407,81.08870697,75.63755798,79.19514465,79.43942261,80.24580383,80.581604,82.17943573
992.996582,5.74315834,5.802397728,5.664130211,6.000751495,6.147070408,6.791555882,15.13353443,15.63707542,15.95656586,15.35641384,16.15047836,15.43617725,64.64024353,65.05142212,65.62311554,64.2962265,65.37732697,64.15727234,77.86174774,77.71081543,78.23007965,79.37601471,81.31266022,81.58006287,76.95719147,77.4069519,79.03935242,80.30036926,80.72863007,80.2901535,75.91850281,79.14398193,79.3154068,80.61875916,80.50577545,82.01493073
991.9857788,5.512581348,5.662930012,5.063379288,6.238652229,5.974202156,6.530519485,15.41444016,15.49199486,15.78920364,15.61129379,15.45563221,15.32994366,65.12155151,65.1769104,65.43686676,64.26258087,65.44607544,64.49217987,77.84996796,77.9076767,78.35311127,79.32241821,81.38511658,81.66464233,77.40398407,76.6802063,78.82945251,79.99217224,80.96767426,80.33068848,75.62556458,78.84737396,79.38941956,80.80071259,80.48240662,81.96060944
991.0059204,6.080461979,5.788845539,5.762552261,6.002739906,6.090898514,7.459767818,15.44056797,15.18649483,15.68842506,15.19742584,15.36275482,14.83018112,64.64559174,65.0767746,65.84692383,64.35905457,65.48135376,63.94937134,77.5773468,77.61122894,78.3145752,79.00883484,81.33075714,81.46832275,77.30844116,76.81924438,79.43138123,80.50881958,80.19010925,80.84780884,76.25570679,79.10085297,78.49836731,80.5987854,80.76940155,81.6966095
989.9937744,6.133868217,5.875512123,6.35509634,5.758889675,5.267935276,6.748692036,14.36978245,15.35831261,15.78962994,15.22257042,15.719594,16.36529732,65.48365021,65.59300995,65.55962372,64.40235901,65.05502319,63.80387115,77.61553955,77.76354218,78.56738281,79.52557373,80.93742371,81.62705994,76.42575836,76.35275269,78.97018433,80.27352142,80.6359024,80.89785004,75.37848663,79.22451019,78.41233826,79.25798798,80.46509552,81.2485199
989.0127563,5.473149776,4.972674847,5.922805786,5.550400257,5.922701359,6.474550247,15.83536911,16.27702141,15.82910824,15.24381065,16.12971878,16.31720161,65.15090179,65.86168671,65.67536163,65.24847412,66.38983917,65.01338196,78.52059937,78.14154816,79.99323273,80.57720947,81.93367767,82.86360168,76.9961319,77.73355865,80.55102539,81.57537842,81.34693146,80.97436523,77.0634613,80.19853973,80.48967743,81.97042084,81.78843689,82.72438812
