Wavelength (nm),Reflectance POS 0 (%R),Reflectance POS 1 (%R),Reflectance POS 2 (%R),Reflectance POS 3 (%R),Reflectance POS 4 (%R),Reflectance POS 5 (%R),Reflectance POS 6 (%R),Reflectance POS 7 (%R),Reflectance POS 8 (%R),Reflectance POS 9 (%R),Reflectance POS 10 (%R),Reflectance POS 11 (%R),Reflectance POS 12 (%R),Reflectance POS 13 (%R),Reflectance POS 14 (%R),Reflectance POS 15 (%R),Reflectance POS 16 (%R),Reflectance POS 17 (%R),Reflectance POS 18 (%R),Reflectance POS 19 (%R),Reflectance POS 20 (%R),Reflectance POS 21 (%R),Reflectance POS 22 (%R),Reflectance POS 23 (%R),Reflectance POS 24 (%R),Reflectance POS 25 (%R),Reflectance POS 26 (%R),Reflectance POS 27 (%R),Reflectance POS 28 (%R),Reflectance POS 29 (%R),Reflectance POS 30 (%R),Reflectance POS 31 (%R),Reflectance POS 32 (%R),Reflectance POS 33 (%R),Reflectance POS 34 (%R),Reflectance POS 35 (%R)
291.9901733,10.38230228,10.11685753,10.74814224,10.79011726,10.04052734,10.69737053,11.42474365,11.48294544,10.52933884,11.37119007,11.2319355,11.19517136,13.45801544,14.33049774,14.19182014,14.45251846,13.74860668,14.35430908,12.07795715,12.19851208,12.82572556,12.4481926,12.46047306,12.58046341,31.73359299,32.10972977,33.33689117,31.69302368,31.65587807,33.10175705,63.39504623,63.89160156,60.91469955,62.8685112,60.63672256,60.95717621
291.0092468,10.82164764,10.69602489,10.84559727,10.83186531,10.24820328,10.43789005,11.50021744,11.56412792,10.90285969,11.34279633,10.93418503,11.48241425,13.55759335,14.56189346,14.56657314,14.87465954,14.16760635,14.48868084,11.96057987,11.98952484,13.13610935,12.63798523,12.6651001,12.76795864,32.60373688,32.59363174,34.08596039,32.27002335,32.08859253,33.44236755,64.70184326,65.01715851,62.0020752,63.85658264,61.58149719,61.92043304
289.9889526,11.10178375,10.73627853,10.88988113,11.34994221,10.04711819,11.07956123,11.53064346,11.5776701,11.02679253,11.60313606,11.19276524,11.55383492,13.95116425,14.84009171,14.76949024,14.74093246,14.13961601,14.92216301,12.18136215,12.42461205,12.72588825,12.36802959,12.33413887,12.82121944,33.01420212,33.09544754,34.94615936,33.00371933,33.02079391,34.17556,65.69963837,66.11193085,63.44730759,65.47235107,62.89711761,63.64117813
289.0078125,11.04404449,10.76253319,11.05063534,11.18083763,9.951580048,10.9819231,12.00436401,11.63769436,11.13070583,11.59547806,11.65264988,11.66773033,14.09316921,15.24916172,14.591609,15.27852154,14.72714138,15.24240971,12.31447124,12.63656425,13.2053194,12.888134,12.79208851,12.99677944,33.92670441,34.3861618,35.9714241,33.7049942,34.17541885,35.13673019,67.47236633,68.03395081,64.63072968,66.80649567,64.32158661,64.90891266
287.9873047,11.07675552,10.9877224,10.9371748,11.02064705,10.20851612,11.08115864,11.60878277,11.46298981,10.5916481,11.69794273,11.49413586,11.52702904,14.38666439,15.30463219,14.91811562,15.39088821,14.87404251,15.20358276,12.33504963,12.50246143,13.35932732,12.997365,12.52505207,12.91240597,34.39238358,34.76023483,36.29370117,34.02958679,34.04340363,35.63566971,68.93305206,68.67048645,65.60532379,67.95096588,64.94972229,65.68261719
287.0059509,10.91412354,10.5170927,11.34886265,11.02249718,10.43789864,11.12001324,11.73420429,11.41603851,10.9230938,11.85093784,11.40657234,11.49980259,14.65458584,15.32461071,15.29583454,15.2629118,15.32783508,15.40378952,12.05963898,12.37969303,13.21472073,12.59906006,12.65305901,12.95346069,35.13745499,34.94779587,36.91216278,34.75300217,34.97298431,36.44464493,69.5931778,70.0650177,66.67015839,68.85792542,66.62388611,66.75994873
285.9851685,11.00799179,10.8195858,11.11322498,10.94957542,10.32513714,10.83163548,11.46958351,11.73486137,10.8328495,11.44711685,11.37968445,11.48263168,14.79487228,15.35438442,15.4515152,15.78604889,15.25252342,15.53393936,12.44070435,12.42416191,13.27780819,12.61388493,12.83803844,13.03173161,35.5827179,35.57909012,37.46709061,35.32471085,35.59580612,36.68303299,70.43090057,71.17657471,67.49530029,70.06793976,67.38535309,68.01339722
285.0035706,10.78290081,10.94159317,11.38561916,10.92067242,10.40310383,10.93575668,11.85938835,11.59951591,10.83592415,11.5592432,11.30640793,11.78591061,15.10148907,15.50892639,15.61659241,15.84971523,15.76594162,15.926507,12.21024609,12.28579521,13.39135933,12.77578926,12.98126698,12.80507565,36.22881699,36.22912598,38.42402649,35.63998032,36.06761932,37.06386566,71.95695496,72.12062836,68.66875458,70.9185257,68.86930847,68.82917786
283.9826355,10.83363628,10.79667759,10.91007328,11.15190506,10.70166492,11.072505,11.57061768,11.87962341,10.99367809,11.31319141,11.55725956,11.73967552,14.91710949,15.94855595,15.71087646,15.88852215,15.54498196,15.76098061,12.27026749,12.5156374,13.11777115,12.38605309,12.9697752,12.88176918,36.7364769,37.04460144,38.28328705,36.10189819,36.68515396,37.71214294,72.83144379,73.1774292,69.94515228,72.15689087,69.49208069,69.73727417
283.000824,10.96536541,10.70263767,11.07499313,11.06420803,10.48108673,11.07346058,11.43646336,11.4839859,10.83769798,11.60223007,11.37552834,11.34596729,15.53952408,16.08813477,15.79198647,16.25945854,15.62670803,16.19768715,12.00617981,12.71131516,13.48037434,12.78687286,12.91106033,12.99470711,37.20517731,37.04481888,39.28141022,36.79214859,36.97105789,38.19670868,73.66168976,74.23215485,70.59962463,73.04392242,70.41384125,70.97270966
